Tamanho da árvore,Depreciação
408,31.8627
409,31.7848
410,31.7073
411,31.8735
412,31.7961
413,31.7191
414,31.8841
415,31.8072
416,31.7308
417,31.8945
418,31.8182
419,31.7422
420,31.9048
421,31.829
422,31.7536
423,31.9149
424,31.8396
425,31.7647
426,31.9249
427,31.8501
428,31.7757
429,31.9347
430,31.8605
431,31.7865
432,31.9444
433,31.8707
434,31.7972
435,31.954
436,31.8807
437,31.8078
438,31.9635
439,31.8907
440,31.8182
441,31.9728
442,31.9005
443,31.8284
444,31.982
445,31.9101
446,31.8386
447,31.9911
448,31.9196
449,31.8486
450,32
451,31.929
452,31.8584
453,32.0088
454,31.9383
455,31.8681
456,32.0175
457,31.9475
458,31.8777
459,32.0261
460,31.9565
461,31.8872
462,32.0346
463,31.9654
464,31.8966
465,32.043
466,31.9742
467,31.9058
468,32.0513
469,31.9829
470,31.9149
471,32.0594
472,31.9915
473,31.9239
474,32.0675
475,32
476,31.9328
477,32.0755
478,32.0084
479,31.9415
480,32.0833
481,32.0166
482,31.9502
483,32.0911
484,32.0248
485,31.9588
486,32.0988
487,32.0329
488,31.9672
489,32.1063
490,32.0408
491,31.9756
492,32.1138
493,32.0487
494,31.9838
495,32.1212
496,32.0565
497,31.992
498,32.1285
499,32.0641
500,32
501,32.1357
502,32.0717
503,32.008
504,32.1429
505,32.0792
506,32.0158
507,32.1499
508,32.0866
509,32.0236
510,32.1569
511,32.0939
512,32.0312
513,32.1637
514,32.1012
515,32.0388
516,32.1705
517,32.1083
518,32.0463
519,32.1773
520,32.1154
521,32.0537
522,32.1839
523,32.1224
524,32.0611
525,32.1905
526,32.1293
527,32.0683
528,32.197
529,32.1361
530,32.0755
531,32.2034
532,32.1429
533,32.0826
534,32.2097
535,32.1495
536,32.0896
537,32.216
538,32.1561
539,32.0965
540,32.2222
541,32.1627
542,32.1033
543,32.2284
544,32.1691
545,32.1101
546,32.2344
547,32.1755
548,32.1168
549,32.2404
550,32.1818
551,32.1234
552,32.2464
553,32.1881
554,32.13
555,32.2523
556,32.1942
557,32.1364
558,32.2581
559,32.2004
560,32.1429
561,32.2638
562,32.2064
563,32.1492
564,32.2695
565,32.2124
566,32.1555
567,32.2751
568,32.2183
569,32.1617
570,32.1053
571,32.049
572,31.993
573,32.1117
574,32.0557
575,32
576,32.1181
577,32.0624
578,32.0069
579,32.1244
580,32.069
581,32.0138
582,32.1306
583,32.0755
584,32.0205
585,32.1368
586,32.0819
587,32.0273
588,32.1429
589,32.0883
590,32.0339
591,32.1489
592,32.0946
593,32.0405
594,32.1549
595,32.1008
596,32.047
597,32.1608
598,32.107
599,32.0534
600,32.1667
601,32.1131
602,32.0598
603,32.1725
604,32.1192
605,32.0661
606,32.1782
607,32.1252
608,32.0724
609,32.1839
610,32.1311
611,32.0786
612,32.1895
613,32.137
614,32.0847
615,32.1951
616,32.1429
617,32.0908
618,32.2006
619,32.1486
620,32.0968
621,32.2061
622,32.1543
623,32.1027
624,32.2115
625,32.16
626,32.1086
627,32.2169
628,32.1656
629,32.1145
630,32.2222
631,32.1712
632,32.1203
633,32.2275
634,32.1767
635,32.126
636,32.2327
637,32.1821
638,32.1317
639,32.2379
640,32.1875
641,32.1373
642,32.243
643,32.1928
644,32.1429
645,32.2481
646,32.1981
647,32.1484
648,32.2531
649,32.2034
650,32.1538
651,32.2581
652,32.2086
653,32.1593
654,32.263
655,32.2137
656,32.1646
657,32.2679
658,32.2188
659,32.17
660,32.2727
661,32.2239
662,32.1752
663,32.2775
664,32.2289
665,32.1805
666,32.2823
667,32.2339
668,32.1856
669,32.287
670,32.2388
671,32.1908
672,32.2917
673,32.2437
674,32.1958
675,32.2963
676,32.2485
677,32.2009
678,32.3009
679,32.2533
680,32.2059
681,32.3054
682,32.2581
683,32.2108
684,32.3099
685,32.2628
686,32.2157
687,32.3144
688,32.2674
689,32.2206
690,32.3188
691,32.2721
692,32.2254
693,32.3232
694,32.2767
695,32.2302
696,32.3276
697,32.2812
698,32.235
699,32.3319
700,32.2857
701,32.2397
702,32.3362
703,32.2902
704,32.2443
705,32.3404
706,32.2946
707,32.2489
708,32.3446
709,32.299
710,32.2535
711,32.3488
712,32.3034
713,32.2581
714,32.3529
715,32.3077
716,32.2626
717,32.357
718,32.312
719,32.267
720,32.3611
721,32.3162
722,32.2715
723,32.3651
724,32.3204
725,32.2759
726,32.3691
727,32.3246
728,32.2802
729,32.3731
730,32.3288
731,32.2845
732,32.377
733,32.3329
734,32.2888
735,32.381
736,32.337
737,32.2931
738,32.3848
739,32.341
740,32.2973
741,32.3887
742,32.345
743,32.3015
744,32.3925
745,32.349
746,32.3056
747,32.3963
748,32.3529
749,32.3097
750,32.4
751,32.3569
752,32.3138
753,32.4037
754,32.3607
755,32.3179
756,32.4074
757,32.3646
758,32.3219
759,32.4111
760,32.3684
761,32.3259
762,32.4147
763,32.3722
764,32.3298
765,32.4183
766,32.376
767,32.3338
768,32.4219
769,32.3797
770,32.3377
771,32.4254
772,32.3834
773,32.3415
774,32.4289
775,32.3871
776,32.3454
777,32.4324
778,32.3907
779,32.3492
780,32.4359
781,32.3944
782,32.3529
783,32.4393
784,32.398
785,32.3567
786,32.4427
787,32.4015
788,32.3604
789,32.4461
790,32.4051
791,32.3641
792,32.4495
793,32.4086
794,32.3678
795,32.4528
796,32.4121
797,32.3714
798,32.4561
799,32.4155
800,32.375
801,32.4594
802,32.419
803,32.3786
804,32.4627
805,32.4224
806,32.3821
807,32.4659
808,32.4257
809,32.3857
810,32.4691
811,32.4291
812,32.3892
813,32.4723
814,32.4324
815,32.3926
816,32.4755
817,32.4357
818,32.3961
819,32.4786
820,32.439
821,32.3995
822,32.4818
823,32.4423
824,32.4029
825,32.4848
826,32.4455
827,32.4063
828,32.4879
829,32.4487
830,32.4096
831,32.491
832,32.4519
833,32.413
834,32.494
835,32.4551
836,32.4163
837,32.497
838,32.4582
839,32.4195
840,32.5
841,32.4614
842,32.4228
843,32.503
844,32.4645
845,32.426
846,32.5059
847,32.4675
848,32.4292
849,32.5088
850,32.4706
851,32.4324
852,32.5117
853,32.4736
854,32.4356
855,32.5146
856,32.4766
857,32.4387
858,32.5175
859,32.4796
860,32.4419
861,32.5203
862,32.4826
863,32.445
864,32.5231
865,32.4855
866,32.448
867,32.526
868,32.4885
869,32.4511
870,32.5287
871,32.4914
872,32.4541
873,32.5315
874,32.4943
875,32.4571
876,32.5342
877,32.4971
878,32.4601
879,32.537
880,32.5
881,32.4631
882,32.5397
883,32.5028
884,32.4661
885,32.5424
886,32.5056
887,32.469
888,32.545
889,32.5084
890,32.4719
891,32.5477
892,32.5112
893,32.4748
894,32.5503
895,32.514
896,32.4777
897,32.553
898,32.5167
899,32.4805
900,32.5556
901,32.5194
902,32.4834
903,32.5581
904,32.5221
905,32.4862
906,32.5607
907,32.5248
908,32.489
909,32.5633
910,32.5275
911,32.4918
912,32.5658
913,32.5301
914,32.4945
915,32.5683
916,32.5328
917,32.4973
918,32.5708
919,32.5354
920,32.5
921,32.5733
922,32.538
923,32.5027
924,32.5758
925,32.5405
926,32.5054
927,32.5782
928,32.5431
929,32.5081
930,32.5806
931,32.5456
932,32.5107
933,32.5831
934,32.5482
935,32.5134
936,32.5855
937,32.5507
938,32.516
939,32.5879
940,32.5532
941,32.5186
942,32.5902
943,32.5557
944,32.5212
945,32.5926
946,32.5581
947,32.5238
948,32.5949
949,32.5606
950,32.5263
951,32.5973
952,32.563
953,32.5289
954,32.5996
955,32.5654
956,32.5314
957,32.6019
958,32.5678
959,32.5339
960,32.6042
961,32.5702
962,32.5364
963,32.6064
964,32.5726
965,32.5389
966,32.6087
967,32.575
968,32.5413
969,32.6109
970,32.5773
971,32.5438
972,32.6132
973,32.5797
974,32.5462
975,32.6154
976,32.582
977,32.5486
978,32.6176
979,32.5843
980,32.551
981,32.6198
982,32.5866
983,32.5534
984,32.622
985,32.5888
986,32.5558
987,32.6241
988,32.5911
989,32.5581
990,32.6263
991,32.5933
992,32.5605
993,32.6284
994,32.5956
995,32.5628
996,32.6305
997,32.5978
998,32.5651
999,32.6326
1000,32.6
1001,32.5674
1002,32.6347
1003,32.6022
1004,32.5697
1005,32.6368
1006,32.6044
1007,32.572
1008,32.6389
1009,32.6065
1010,32.5743
1011,32.6409
1012,32.6087
1013,32.5765
1014,32.643
1015,32.6108
1016,32.5787
1017,32.645
1018,32.613
1019,32.581
1020,32.6471
1021,32.6151
1022,32.5832
1023,32.6491
1024,32.6172
1025,32.5854
1026,32.6511
1027,32.6193
1028,32.5875
1029,32.6531
1030,32.6214
1031,32.5897
1032,32.655
1033,32.6234
1034,32.5919
1035,32.657
1036,32.6255
1037,32.594
1038,32.659
1039,32.6275
1040,32.5962
1041,32.6609
1042,32.6296
1043,32.5983
1044,32.6628
1045,32.6316
1046,32.6004
1047,32.6648
1048,32.6336
1049,32.6025
1050,32.6667
1051,32.6356
1052,32.6046
1053,32.6686
1054,32.6376
1055,32.6066
1056,32.6705
1057,32.6395
1058,32.6087
1059,32.6723
1060,32.6415
1061,32.6107
1062,32.6742
1063,32.6435
1064,32.6128
1065,32.6761
1066,32.6454
1067,32.6148
1068,32.6779
1069,32.6473
1070,32.6168
1071,32.6797
1072,32.6493
1073,32.6188
1074,32.6816
1075,32.6512
1076,32.6208
1077,32.6834
1078,32.6531
1079,32.6228
1080,32.6852
1081,32.6549
1082,32.6248
1083,32.687
1084,32.6568
1085,32.6267
1086,32.6888
1087,32.6587
1088,32.6287
1089,32.6905
1090,32.6606
1091,32.6306
1092,32.6923
1093,32.6624
1094,32.6325
1095,32.6941
1096,32.6642
1097,32.6345
1098,32.6958
1099,32.6661
1100,32.6364
1101,32.6975
1102,32.6679
1103,32.6383
1104,32.6993
1105,32.6697
1106,32.6401
1107,32.701
1108,32.6715
1109,32.642
1110,32.7027
1111,32.6733
1112,32.6439
1113,32.7044
1114,32.675
1115,32.6457
1116,32.7061
1117,32.6768
1118,32.6476
1119,32.7078
1120,32.6786
1121,32.6494
1122,32.7094
1123,32.6803
1124,32.6512
1125,32.7111
1126,32.6821
1127,32.6531
1128,32.7128
1129,32.6838
1130,32.6549
1131,32.7144
1132,32.6855
1133,32.6567
1134,32.716
1135,32.6872
1136,32.6585
1137,32.7177
1138,32.6889
1139,32.6602
1140,32.7193
1141,32.6906
1142,32.662
1143,32.7209
1144,32.6923
1145,32.6638
1146,32.6353
1147,32.6068
1148,32.5784
1149,32.6371
1150,32.6087
1151,32.5804
1152,32.6389
1153,32.6106
1154,32.5823
1155,32.6407
1156,32.6125
1157,32.5843
1158,32.6425
1159,32.6143
1160,32.5862
1161,32.6443
1162,32.6162
1163,32.5881
1164,32.646
1165,32.618
1166,32.5901
1167,32.6478
1168,32.6199
1169,32.592
1170,32.6496
1171,32.6217
1172,32.5939
1173,32.6513
1174,32.6235
1175,32.5957
1176,32.6531
1177,32.6253
1178,32.5976
1179,32.6548
1180,32.6271
1181,32.5995
1182,32.6565
1183,32.6289
1184,32.6014
1185,32.6582
1186,32.6307
1187,32.6032
1188,32.6599
1189,32.6325
1190,32.605
1191,32.6616
1192,32.6342
1193,32.6069
1194,32.6633
1195,32.636
1196,32.6087
1197,32.665
1198,32.6377
1199,32.6105
1200,32.6667
1201,32.6395
1202,32.6123
1203,32.6683
1204,32.6412
1205,32.6141
1206,32.67
1207,32.6429
1208,32.6159
1209,32.6716
1210,32.6446
1211,32.6177
1212,32.6733
1213,32.6463
1214,32.6194
1215,32.6749
1216,32.648
1217,32.6212
1218,32.6765
1219,32.6497
1220,32.623
1221,32.6781
1222,32.6514
1223,32.6247
1224,32.6797
1225,32.6531
1226,32.6264
1227,32.6813
1228,32.6547
1229,32.6282
1230,32.6829
1231,32.6564
1232,32.6299
1233,32.6845
1234,32.658
1235,32.6316
1236,32.6861
1237,32.6597
1238,32.6333
1239,32.6877
1240,32.6613
1241,32.635
1242,32.6892
1243,32.6629
1244,32.6367
1245,32.6908
1246,32.6645
1247,32.6383
1248,32.6923
1249,32.6661
1250,32.64
1251,32.6938
1252,32.6677
1253,32.6417
1254,32.6954
1255,32.6693
1256,32.6433
1257,32.6969
1258,32.6709
1259,32.645
1260,32.6984
1261,32.6725
1262,32.6466
1263,32.6999
1264,32.6741
1265,32.6482
1266,32.7014
1267,32.6756
1268,32.6498
1269,32.7029
1270,32.6772
1271,32.6515
1272,32.7044
1273,32.6787
1274,32.6531
1275,32.7059
1276,32.6803
1277,32.6547
1278,32.7074
1279,32.6818
1280,32.6562
1281,32.7088
1282,32.6833
1283,32.6578
1284,32.7103
1285,32.6848
1286,32.6594
1287,32.7117
1288,32.6863
1289,32.661
1290,32.7132
1291,32.6878
1292,32.6625
1293,32.7146
1294,32.6893
1295,32.6641
1296,32.716
1297,32.6908
1298,32.6656
1299,32.7175
1300,32.6923
1301,32.6672
1302,32.7189
1303,32.6938
1304,32.6687
1305,32.7203
1306,32.6953
1307,32.6702
1308,32.7217
1309,32.6967
1310,32.6718
1311,32.7231
1312,32.6982
1313,32.6733
1314,32.7245
1315,32.6996
1316,32.6748
1317,32.7259
1318,32.7011
1319,32.6763
1320,32.7273
1321,32.7025
1322,32.6778
1323,32.7286
1324,32.7039
1325,32.6792
1326,32.73
1327,32.7054
1328,32.6807
1329,32.7314
1330,32.7068
1331,32.6822
1332,32.7327
1333,32.7082
1334,32.6837
1335,32.7341
1336,32.7096
1337,32.6851
1338,32.7354
1339,32.711
1340,32.6866
1341,32.7368
1342,32.7124
1343,32.688
1344,32.7381
1345,32.7138
1346,32.6895
1347,32.7394
1348,32.7151
1349,32.6909
1350,32.7407
1351,32.7165
1352,32.6923
1353,32.7421
1354,32.7179
1355,32.6937
1356,32.7434
1357,32.7192
1358,32.6951
1359,32.7447
1360,32.7206
1361,32.6965
1362,32.746
1363,32.7219
1364,32.6979
1365,32.7473
1366,32.7233
1367,32.6993
1368,32.7485
1369,32.7246
1370,32.7007
1371,32.7498
1372,32.7259
1373,32.7021
1374,32.7511
1375,32.7273
1376,32.7035
1377,32.7524
1378,32.7286
1379,32.7049
1380,32.7536
1381,32.7299
1382,32.7062
1383,32.7549
1384,32.7312
1385,32.7076
1386,32.7561
1387,32.7325
1388,32.7089
1389,32.7574
1390,32.7338
1391,32.7103
1392,32.7586
1393,32.7351
1394,32.7116
1395,32.7599
1396,32.7364
1397,32.713
1398,32.7611
1399,32.7377
1400,32.7143
1401,32.7623
1402,32.7389
1403,32.7156
1404,32.7635
1405,32.7402
1406,32.7169
1407,32.7647
1408,32.7415
1409,32.7182
1410,32.766
1411,32.7427
1412,32.7195
1413,32.7672
1414,32.744
1415,32.7208
1416,32.7684
1417,32.7452
1418,32.7221
1419,32.7696
1420,32.7465
1421,32.7234
1422,32.7707
1423,32.7477
1424,32.7247
1425,32.7719
1426,32.7489
1427,32.726
1428,32.7731
1429,32.7502
1430,32.7273
1431,32.7743
1432,32.7514
1433,32.7285
1434,32.7755
1435,32.7526
1436,32.7298
1437,32.7766
1438,32.7538
1439,32.7311
1440,32.7778
1441,32.755
1442,32.7323
1443,32.7789
1444,32.7562
1445,32.7336
1446,32.7801
1447,32.7574
1448,32.7348
1449,32.7812
1450,32.7586
1451,32.736
1452,32.7824
1453,32.7598
1454,32.7373
1455,32.7835
1456,32.761
1457,32.7385
1458,32.7846
1459,32.7622
1460,32.7397
1461,32.7858
1462,32.7633
1463,32.7409
1464,32.7869
1465,32.7645
1466,32.7422
1467,32.788
1468,32.7657
1469,32.7434
1470,32.7891
1471,32.7668
1472,32.7446
1473,32.7902
1474,32.768
1475,32.7458
1476,32.7913
1477,32.7691
1478,32.747
1479,32.7924
1480,32.7703
1481,32.7481
1482,32.7935
1483,32.7714
1484,32.7493
1485,32.7946
1486,32.7725
1487,32.7505
1488,32.7957
1489,32.7737
1490,32.7517
1491,32.7968
1492,32.7748
1493,32.7528
1494,32.7979
1495,32.7759
1496,32.754
1497,32.7989
1498,32.777
1499,32.7552
1500,32.8
1501,32.7781
1502,32.7563
1503,32.8011
1504,32.7793
1505,32.7575
1506,32.8021
1507,32.7804
1508,32.7586
1509,32.8032
1510,32.7815
1511,32.7598
1512,32.8042
1513,32.7826
1514,32.7609
1515,32.8053
1516,32.7836
1517,32.762
1518,32.8063
1519,32.7847
1520,32.7632
1521,32.8074
1522,32.7858
1523,32.7643
1524,32.8084
1525,32.7869
1526,32.7654
1527,32.8094
1528,32.788
1529,32.7665
1530,32.8105
1531,32.789
1532,32.7676
1533,32.8115
1534,32.7901
1535,32.7687
1536,32.8125
1537,32.7912
1538,32.7698
1539,32.8135
1540,32.7922
1541,32.7709
1542,32.8145
1543,32.7933
1544,32.772
1545,32.8155
1546,32.7943
1547,32.7731
1548,32.8165
1549,32.7954
1550,32.7742
1551,32.8175
1552,32.7964
1553,32.7753
1554,32.8185
1555,32.7974
1556,32.7763
1557,32.8195
1558,32.7985
1559,32.7774
1560,32.8205
1561,32.7995
1562,32.7785
1563,32.8215
1564,32.8005
1565,32.7796
1566,32.8225
1567,32.8015
1568,32.7806
1569,32.8235
1570,32.8025
1571,32.7817
1572,32.8244
1573,32.8036
1574,32.7827
1575,32.8254
1576,32.8046
1577,32.7838
1578,32.8264
1579,32.8056
1580,32.7848
1581,32.8273
1582,32.8066
1583,32.7858
1584,32.8283
1585,32.8076
1586,32.7869
1587,32.8292
1588,32.8086
1589,32.7879
1590,32.8302
1591,32.8096
1592,32.7889
1593,32.8311
1594,32.8105
1595,32.79
1596,32.8321
1597,32.8115
1598,32.791
1599,32.833
1600,32.8125
1601,32.792
1602,32.834
1603,32.8135
1604,32.793
1605,32.8349
1606,32.8144
1607,32.794
1608,32.8358
1609,32.8154
1610,32.795
1611,32.8367
1612,32.8164
1613,32.796
1614,32.8377
1615,32.8173
1616,32.797
1617,32.8386
1618,32.8183
1619,32.798
1620,32.8395
1621,32.8192
1622,32.799
1623,32.8404
1624,32.8202
1625,32.8
1626,32.8413
1627,32.8211
1628,32.801
1629,32.8422
1630,32.8221
1631,32.802
1632,32.8431
1633,32.823
1634,32.8029
1635,32.844
1636,32.824
1637,32.8039
1638,32.8449
1639,32.8249
1640,32.8049
1641,32.8458
1642,32.8258
1643,32.8058
1644,32.8467
1645,32.8267
1646,32.8068
1647,32.8476
1648,32.8277
1649,32.8078
1650,32.8485
1651,32.8286
1652,32.8087
1653,32.8494
1654,32.8295
1655,32.8097
1656,32.8502
1657,32.8304
1658,32.8106
1659,32.8511
1660,32.8313
1661,32.8116
1662,32.852
1663,32.8322
1664,32.8125
1665,32.8529
1666,32.8331
1667,32.8134
1668,32.8537
1669,32.834
1670,32.8144
1671,32.8546
1672,32.8349
1673,32.8153
1674,32.8554
1675,32.8358
1676,32.8162
1677,32.8563
1678,32.8367
1679,32.8172
1680,32.8571
1681,32.8376
1682,32.8181
1683,32.858
1684,32.8385
1685,32.819
1686,32.8588
1687,32.8394
1688,32.8199
1689,32.8597
1690,32.8402
1691,32.8208
1692,32.8605
1693,32.8411
1694,32.8217
1695,32.8614
1696,32.842
1697,32.8226
1698,32.8622
1699,32.8428
1700,32.8235
1701,32.863
1702,32.8437
1703,32.8244
1704,32.8638
1705,32.8446
1706,32.8253
1707,32.8647
1708,32.8454
1709,32.8262
1710,32.8655
1711,32.8463
1712,32.8271
1713,32.8663
1714,32.8471
1715,32.828
1716,32.8671
1717,32.848
1718,32.8289
1719,32.8679
1720,32.8488
1721,32.8298
1722,32.8688
1723,32.8497
1724,32.8306
1725,32.8696
1726,32.8505
1727,32.8315
1728,32.8704
1729,32.8514
1730,32.8324
1731,32.8712
1732,32.8522
1733,32.8332
1734,32.872
1735,32.853
1736,32.8341
1737,32.8728
1738,32.8539
1739,32.835
1740,32.8736
1741,32.8547
1742,32.8358
1743,32.8744
1744,32.8555
1745,32.8367
1746,32.8751
1747,32.8563
1748,32.8375
1749,32.8759
1750,32.8571
1751,32.8384
1752,32.8767
1753,32.858
1754,32.8392
1755,32.8775
1756,32.8588
1757,32.8401
1758,32.8783
1759,32.8596
1760,32.8409
1761,32.879
1762,32.8604
1763,32.8417
1764,32.8798
1765,32.8612
1766,32.8426
1767,32.8806
1768,32.862
1769,32.8434
1770,32.8814
1771,32.8628
1772,32.8442
1773,32.8821
1774,32.8636
1775,32.8451
1776,32.8829
1777,32.8644
1778,32.8459
1779,32.8836
1780,32.8652
1781,32.8467
1782,32.8844
1783,32.866
1784,32.8475
1785,32.8852
1786,32.8667
1787,32.8483
1788,32.8859
1789,32.8675
1790,32.8492
1791,32.8867
1792,32.8683
1793,32.85
1794,32.8874
1795,32.8691
1796,32.8508
1797,32.8881
1798,32.8699
1799,32.8516
1800,32.8889
1801,32.8706
1802,32.8524
1803,32.8896
1804,32.8714
1805,32.8532
1806,32.8904
1807,32.8722
1808,32.854
1809,32.8911
1810,32.8729
1811,32.8548
1812,32.8918
1813,32.8737
1814,32.8556
1815,32.8926
1816,32.8744
1817,32.8564
1818,32.8933
1819,32.8752
1820,32.8571
1821,32.894
1822,32.876
1823,32.8579
1824,32.8947
1825,32.8767
1826,32.8587
1827,32.8955
1828,32.8775
1829,32.8595
1830,32.8962
1831,32.8782
1832,32.8603
1833,32.8969
1834,32.879
1835,32.861
1836,32.8976
1837,32.8797
1838,32.8618
1839,32.8983
1840,32.8804
1841,32.8626
1842,32.899
1843,32.8812
1844,32.8633
1845,32.8997
1846,32.8819
1847,32.8641
1848,32.9004
1849,32.8826
1850,32.8649
1851,32.9011
1852,32.8834
1853,32.8656
1854,32.9018
1855,32.8841
1856,32.8664
1857,32.9025
1858,32.8848
1859,32.8671
1860,32.9032
1861,32.8855
1862,32.8679
1863,32.9039
1864,32.8863
1865,32.8686
1866,32.9046
1867,32.887
1868,32.8694
1869,32.9053
1870,32.8877
1871,32.8701
1872,32.906
1873,32.8884
1874,32.8709
1875,32.9067
1876,32.8891
1877,32.8716
1878,32.9073
1879,32.8898
1880,32.8723
1881,32.908
1882,32.8905
1883,32.8731
1884,32.9087
1885,32.8912
1886,32.8738
1887,32.9094
1888,32.8919
1889,32.8745
1890,32.9101
1891,32.8926
1892,32.8753
1893,32.9107
1894,32.8933
1895,32.876
1896,32.9114
1897,32.894
1898,32.8767
1899,32.9121
1900,32.8947
1901,32.8774
1902,32.9127
1903,32.8954
1904,32.8782
1905,32.9134
1906,32.8961
1907,32.8789
1908,32.914
1909,32.8968
1910,32.8796
1911,32.9147
